,Unnamed: 0,COMMENT_ID,AUTHOR,DATE,text,label,file,split,CARDINAL,EVENT,FAC,GPE,LANGUAGE,LAW,LOC,MONEY,NORP,ORDINAL,ORG,PERCENT,PERSON,PRODUCT,QUANTITY,TIME,WORK_OF_ART
0,22,55,Ted,False,This is the best music video I ever saw,0,datasets/spam_example/example_dataset.csv,dev,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,8,8,Popeye,False,https://pi.ytmnd.com/,1,datasets/spam_example/example_dataset.csv,dev,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,23,65,Ted,False,This is the best music video I ever saw,0,datasets/spam_example/example_dataset.csv,dev,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,18,18,Ted,False,This is the best music video I ever saw,0,datasets/spam_example/example_dataset.csv,dev,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,20,35,Ted,False,I like music,0,datasets/spam_example/example_dataset.csv,dev,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,3,3,Your Inner Child,False,https://www.law.berkeley.edu/article/spinning-around-the-laugh-track/,1,datasets/spam_example/example_dataset.csv,dev,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,9,9,Erica,False,"""https://pi.ytmnd.com/""",1,datasets/spam_example/example_dataset.csv,dev,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,1,1,Dracula,False,http://my/fake/website/fan-face-off-round-3 Vote for me so I can be on the cover of FACES: HOW TO HAVE A FACE,1,datasets/spam_example/example_dataset.csv,dev,False,False,False,False,False,False,False,False,False,False,"(81, 83)",False,False,False,False,False,False
8,10,10,Tim,False,Check out my Youtube channel where I make pastries out of sand,1,datasets/spam_example/example_dataset.csv,dev,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,19,25,Ted,False,This comment is so relevant to the music video I'm watching,0,datasets/spam_example/example_dataset.csv,dev,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,17,17,Ari,False,Buy my sand pastries! They are mostly edible,1,datasets/spam_example/example_dataset.csv,dev,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,6,6,Rick,False,http://sanfranciscocomedycompetition.com/2018-competition/hanna-evensen/ no one will notice if I leave this here?,1,datasets/spam_example/example_dataset.csv,dev,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,24,66,Tom,False,So good,0,datasets/spam_example/example_dataset.csv,dev,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,2,2,Frankenstein,False,If you don't like this comment I will find you and confront you IRL.,1,datasets/spam_example/example_dataset.csv,dev,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,5,5,Don Jr's subconscious,False,http://sanfranciscocomedycompetition.com/2018-competition/hanna-evensen/,1,datasets/spam_example/example_dataset.csv,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,7,7,Morty,False,http://sanfranciscocomedycompetition.com/2018-competition/hanna-evensen/ if you're reading the test cases...why?,1,datasets/spam_example/example_dataset.csv,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,11,11,Timm,False,Check out my Youtube channel where I make pastries out of sand,1,datasets/spam_example/example_dataset.csv,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,12,12,Tim Tam,False,Check out my Youtube channel where I make pastries out of sand,1,datasets/spam_example/example_dataset.csv,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,25,67,Myra,False,Great,0,datasets/spam_example/example_dataset.csv,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,4,4,E. Coli,False,https://www.law.berkeley.edu/article/spinning-around-the-laugh-track/,1,datasets/spam_example/example_dataset.csv,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20,16,16,Sam,False,Buy my sand pastries! They are mostly edible,1,datasets/spam_example/example_dataset.csv,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21,14,14,Timothy,False,Check out my Youtube channel where I make pastries out of sand,1,datasets/spam_example/example_dataset.csv,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,21,45,Ted,False,This video makes me cry every time,0,datasets/spam_example/example_dataset.csv,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23,15,15,Bernadette,False,Check out my Youtube channel where I make pastries out of sand,1,datasets/spam_example/example_dataset.csv,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24,0,0,Black Widow,False,i love this so much. AND also I Generate Free Leads on Auto Pilot &amp; You Can  Too! http://www.some.url.seems.spammy.tk,1,datasets/spam_example/example_dataset.csv,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"(70, 81)"
25,13,13,Timmy Jr,False,Check out my Youtube channel where I make pastries out of sand,1,datasets/spam_example/example_dataset.csv,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
